text,label
Pay registration fee of 2000 rupees and get internship immediately,1
No interview required selected directly join training program,1
Contact HR on WhatsApp for job confirmation,1
Earn 50000 per month working 2 hours per day,1
Telegram based hiring no company email provided,1
Software intern position at Infosys with interview process,0
Junior Python developer role at TCS official career portal,0
Marketing internship with stipend and selection interview,0
Campus placement drive conducted by Wipro HR team,0
Data analyst internship with proper offer letter and onboarding,0

Online job pay registration fee to start work,1
Work from home job deposit required before joining,1
Instant offer letter without interview process,1
Contact HR via Telegram for job details,1
Earn money daily no skills required limited slots,1
Training fee mandatory before placement,1
Job confirmation after payment only,1
WhatsApp hiring no official website provided,1
Part time job earn huge income easily,1
Click link and pay fee to activate job ID,1
Software engineer opening at Infosys careers portal,0
Junior developer position with technical interview,0
Marketing internship with HR screening process,0
Campus recruitment drive by Wipro,0
Full time analyst role with official company email,0
Internship with stipend and mentor guidance,0
Company onboarding after document verification,0
Hiring through LinkedIn official job post,0
Graduate trainee role with assessment test,0
IT support role with HR interview round,0
HR interview scheduled after resume shortlisting,0
Offer letter issued after technical and HR rounds,0
Internship stipend credited monthly to bank account,0
Recruitment through official company email domain,0
Company website listed with job application form,0
Employment agreement signed after interview process,0
Campus hiring with aptitude and technical assessment,0
Job role includes probation period and salary structure,0
Joining date confirmed after background verification,0
HR contact provided with company email ID,0

Online data entry job pay 1500 registration fee to start work,1
Work from home typing job deposit required before joining,1
Selected directly no interview pay training amount today,1
Earn 60000 per month only 2 hours daily no skills required,1
Contact HR immediately on WhatsApp for job confirmation,1
Telegram based hiring limited seats apply fast,1
Pay security fee and receive offer letter instantly,1
Part time job earn daily income without experience,1
Training fee mandatory before placement confirmation,1
Click link and pay amount to activate employee ID,1
No interview direct joining after payment,1
Government approved job pay processing charges,1
Online internship certificate provided after payment,1
Urgent hiring today last chance pay fee now,1
HR available only on WhatsApp no office address,1
Earn money from home simple work registration needed,1
Pay refundable deposit to start project work,1
Job guarantee after course fee payment,1
Instant selection congratulations you are hired,1
Work from home job no documents required pay fee,1
Company details hidden contact admin on Telegram,1
Easy typing job earn per page payment first required,1
Selected candidate send payment screenshot to HR,1
No interview no resume required immediate joining,1
Limited vacancy hurry up pay registration today,1

Internship requires refundable security deposit after interview,1
Training fee reimbursed after completion of probation,0

